top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2967 andrew    20   0  342004  16344   4760 S   0.0  0.1   1:01.74 /usr/lib/ibus/ibus-x11 --kill-daemon
 2969 andrew    20   0  271584   1668    768 S   0.0  0.0   0:01.01 /usr/lib/ibus/ibus-portal
 2979 andrew    20   0  264456    448      0 S   0.0  0.0   0:00.02 /usr/libexec/xdg-permission-store
 2984 andrew    20   0  690104   6192   2796 S   0.0  0.0   0:00.14 /usr/lib/gnome-shell/gnome-shell-calendar-server
 2988 andrew    20   0 1365252   6740   2336 S   0.0  0.0   0:00.32 /usr/lib/evolution/evolution-source-registry
 2996 andrew    20   0  784052   6200    224 S   0.0  0.0   0:03.11 /usr/lib/gnome-online-accounts/goa-daemon
 3019 andrew    20   0  188624   2424   1080 S   0.0  0.0   0:02.02 /usr/lib/dconf/dconf-service
 3029 andrew    20   0  296256    832      0 S   0.0  0.0   0:10.07 /usr/lib/gnome-online-accounts/goa-identity-service
 3033 andrew    20   0  299696   4284   1992 S   0.0  0.0   1:37.39 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 3037 andrew    20   0  266940   1024    448 S   0.0  0.0   0:00.05 /usr/lib/gvfs/gvfs-goa-volume-monitor
 3041 andrew    20   0  281684   1312    452 S   0.0  0.0   0:00.05 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 3045 andrew    20   0  371724   1176    300 S   0.0  0.0   0:00.05 /usr/lib/gvfs/gvfs-afc-volume-monitor
 3050 andrew    20   0  268764   1220    552 S   0.0  0.0   0:00.05 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 3056 andrew    20   0  793836  23624   6080 S   0.0  0.1   0:39.28 /usr/lib/gnome-settings-daemon/gsd-power
 3058 andrew    20   0  342236   3304   1828 S   0.0  0.0   0:01.31 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 3059 andrew    20   0  416236   1152    376 S   0.0  0.0   0:02.10 /usr/lib/gnome-settings-daemon/gsd-rfkill
 3060 andrew    20   0  268628   1220    640 S   0.0  0.0   0:01.08 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 3061 andrew    20   0  446324   4560   2000 S   0.0  0.0   6:33.53 /usr/lib/gnome-settings-daemon/gsd-sharing
